Task ID,Task Name,Subtask IDs
1,Phase 1: Scaffold & Project Setup,2
2,Scaffold the project from the application template,
3,Phase 2: Multilingual App Build,"4,5,6,7,8,9,10,11,12,13"
4,Set up locale-prefixed routing (EN/FR),
5,"Build shared layout components (Navbar, Footer, PageHero, LanguageSwitcher)",
6,"Build homepage sections (Hero, Stats, Services, WhyUs, Testimonials, FeaturedProjects, CTA banner)",
7,"Build About page with story, mission, values, team, and timeline",
8,Build Services page with icon cards,
9,"Build Web Systems page with sub-services, tech stack, and process",
10,Build Projects page with filterable grid,
11,Build Contact page with validated form and contact info sidebar,
12,Create EN/FR translation files with full page copy,
13,Verify all routes fully localized,
14,Phase 3: Framework Migration & Polish,"15,16,17,18"
15,Add project README with documentation,
16,Migrate app from TanStack Start to Next.js (App Router),
17,Improve navbar visibility with sticky and scroll effects,
18,Add carousel to featured projects,
19,Phase 4: Document-Scope Implementation,"20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38"
20,Remove /web-systems page and its navigation link,
21,Rename /services route to /solutions,
22,"Rewrite Solutions page with per-system presentation framework (OS, Android, Microfinance, RCS, IHMS)",
23,Create /technology page for infrastructure and technical capability,
24,Create /hardware page introducing laptop and hardware assembly strategy,
25,Create /roadmap page for the laptop-assembly lab roadmap,
26,Rewrite homepage hero and services sections around the 3-layer business model,
27,Add homepage roadmap preview section,
28,Rewrite Why Choose Us section around the three layers,
29,Implement contact form backend API route with validation,
30,Configure email service integration for shared hosting (SMTP),
31,Add Google Analytics integration,
32,Add sitemap generation,
33,Add Open Graph and SEO metadata,
34,Update robots.txt with sitemap reference,
35,Add security headers and HTTPS redirect configuration,
36,"Update content: timeline, testimonials, statistics, social links",
37,Add EN/FR translations for all new pages,
38,Write gap-analysis and deployment documentation,
39,Phase 5: Deployment & Content Polish,"40,41,42,43,44,45,46"
40,Update team roster with new 6-member lineup,
41,Sanitize env.example and add gitignored env.local,
42,Add Netlify build configuration,
43,Perform first deployment on develop branch,
44,"Refine About page team names, milestone years, and subtitle",
45,Update environment variable types,
46,Update favicon assets,
47,Phase 6: Outstanding Deliverables,"48,49,50,51,52"
48,Register domain and configure DNS to hosting,
49,Set up official email accounts and capture SMTP credentials,
50,"Prepare company documents (registration, profile, letterhead, business cards)",
51,Order and verify company stamp,
52,"Complete deployment checklist (env vars, contact form E2E, social links, real photos/images, cross-device QA, 404, language switching, sitemap, robots)",
